,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1998-07-27,0.1566316165973985,-0.44462013243679543,-0.6171313999946484,0.34722865415434345,-0.27880702078834574,-0.03735831112201629,0.32062120328012766,-0.011406339631681129,0.9274247285113946,0.996847603642806,1.045443559277983,1.1378567029812696,1.0716461120032963,0.804565696532082,0.8364615571998502,0.7679704068101152
1998-07-28,0.3277059034800746,0.0395548341059474,-0.6171313999946484,0.5920106880089818,-0.16589755225166852,-0.1623681642820169,0.3350553487906406,0.008530555801348283,0.8068293562726505,0.9817446386820372,1.045443559277983,1.0902421153897062,1.0660831673801021,0.8581718833160639,0.8346646081490516,0.7682162579137831
1998-07-29,-0.07329604723653999,0.176606507724603,-0.7414056591448894,0.17042343919150849,-0.03430977032013716,-0.16515612645453517,0.3241481095539223,0.013839801911148173,0.686738415207703,0.9628459541305897,1.081283500027148,1.0769734838534972,1.0620853189331012,0.9127075883799394,0.8340121711290005,0.767787824311343
1998-07-30,-0.1965633389443992,0.176606507724603,-0.8464591644758539,-0.0435148046219056,-0.01786213847595272,-0.11115133121439576,0.3259302406491648,0.012923313830303299,0.5887089332408727,0.9628459541305897,1.051814672647319,1.0587650365458765,1.0487612722929187,0.9583235818996764,0.833220706188413,0.7682045224146871
1998-07-31,-0.13501674518440712,0.696087113303426,-0.37239791669002015,-0.23406137052472484,-0.03580399680693601,-0.012988785247709952,0.3496033763314483,0.05524646508391629,0.5706191750185973,0.953687238554918,1.017593329523594,1.0616114848899112,1.0463337381537436,1.0023378923658732,0.831687882481033,0.7839428006515843
1998-08-03,-0.2716625063192299,-0.07329604723653999,0.176606507724603,-0.6171313999946484,-0.13481753302044525,-0.04053382090848526,0.29716613827293953,0.09299285008235418,0.5420254103076937,0.686738415207703,0.9628459541305897,1.045443559277983,1.0304310523695235,1.0456157029579354,0.8042437718271526,0.8001973049418137
1998-08-04,-0.3187342862055137,-0.1965633389443992,0.176606507724603,-0.9733877102340494,-0.253672033573212,-0.06367378103477016,0.2511352673516953,0.12032377748507526,0.5942989716280892,0.5887089332408727,0.9628459541305897,1.0649229633083734,1.0277691330000853,1.0607998138328885,0.7788107024009905,0.816056401546954
1998-08-05,-0.13226956695758404,-0.13501674518440712,0.696087113303426,-0.31269573459666333,-0.2526358337665224,-0.038405740020893225,0.27130078253426543,0.13073038475781348,0.632195863051867,0.5706191750185973,0.953687238554918,1.0341930689639411,1.0522237682082967,1.0647291961172967,0.7537979545604431,0.8315814920408354
1998-08-06,-0.3896590492086095,-0.13501674518440712,0.1566316165973985,-0.4888626315972787,-0.3095567071757482,-0.14553986454350182,0.2325990058320165,0.12494439078045932,0.6743326459717986,0.5706191750185973,0.9274247285113946,1.0141637076058174,1.0791611321823202,1.0803250291639355,0.7351909300898393,0.8470151345745838
1998-08-07,-0.6344569599012588,-0.08490493100450613,0.3277059034800746,-0.11731635448529784,-0.2766509299729775,-0.07637355155412008,0.2134030746295647,0.1616595248462458,0.6683219172970332,0.49860981525916254,0.8068293562726505,0.9901472557401911,1.0878411409746933,1.0801981171933925,0.7155007079477191,0.8626010855192888
1998-08-10,-1.0375968010163241,-0.13226956695758404,-0.13501674518440712,0.176606507724603,-0.41013213919314345,-0.18431637366760675,0.1794054166884526,0.16227234557747477,0.6536458734095372,0.632195863051867,0.5706191750185973,0.9628459541305897,1.0925166288907147,1.0960621589357333,0.6964869552934883,0.8781430047125133
1998-08-11,-1.7747579589418707,-0.3896590492086095,-0.13501674518440712,0.48977689026193855,-0.19757999364241974,-0.2570065483463764,0.09890606611556411,0.1660051609171985,0.6507036624111289,0.6743326459717986,0.5706191750185973,0.9346811136552017,1.0825036051344912,1.1100881861954641,0.6846935805610594,0.8928972362829667
1998-08-12,-1.8656121786906963,-0.6344569599012588,-0.08490493100450613,0.07122042453879711,-0.1649631816064782,-0.2158479875005787,0.10190188906056138,0.18621853024094487,0.6444377604016421,0.6683219172970332,0.49860981525916254,0.8455525290050625,1.0745346235797693,1.1000170785337275,0.6735542444887785,0.9083741532616342
1998-08-13,-1.2034506009700239,-0.6344569599012588,-0.2716625063192299,0.17974291367490652,0.005590344584070817,-0.14496727377035754,0.041311057539683685,0.17181189109536288,0.6565706754511509,0.6683219172970332,0.5420254103076937,0.7420599049921087,1.068111372245215,1.0884953217962172,0.6624008250912904,0.9236532570161351
1998-08-14,-1.505776306573282,-0.5387075386379478,-0.3187342862055137,-0.012288030715674313,-0.014406207530260319,-0.045044782251518055,0.13340376521142214,0.1708308383061532,0.6693907964926764,0.6624708688278266,0.5942989716280892,0.6484173897776581,1.0550578304987637,1.0803932882279552,0.6522705103757097,0.9240877203899481
1998-08-17,-2.6298776455221358,-1.8656121786906963,-0.6344569599012588,-0.13501674518440712,-0.050121574530157566,-0.27880702078834574,0.08505215029573597,0.1768112104522115,0.6997312104175929,0.6444377604016421,0.6683219172970332,0.5706191750185973,1.0368367310003466,1.0716461120032963,0.6641583722309717,0.9237327567221224
1998-08-18,-2.290628677850939,-1.2034506009700239,-0.6344569599012588,-0.2714148737945056,0.016973437280546656,-0.16589755225166852,0.04931000856691746,0.16930626044075725,0.739681501725281,0.6565706754511509,0.6683219172970332,0.5372330744421019,0.9979559182966339,1.0660831673801021,0.6761626341097859,0.9235033878046406
1998-08-19,-1.3933302357698583,-1.505776306573282,-0.5387075386379478,-0.33740923807356415,-0.047960524992347195,-0.03430977032013716,0.05749807453685901,0.16998812174113445,0.7631748665006639,0.6693907964926764,0.6624708688278266,0.5720355972764597,0.9541610943114031,1.0620853189331012,0.689468729066353,0.9231675828081223
1998-08-20,-0.23622001899637818,-1.505776306573282,-1.0375968010163241,-0.05946684649250955,-0.09571428608459999,-0.01786213847595272,0.07308438261162303,0.15303507704885208,0.7892168024938206,0.6693907964926764,0.6536458734095372,0.6047833480529893,0.9106297833610308,1.0487612722929187,0.6989743725128209,0.9219672301402347
1998-08-21,0.24695300981578092,-1.233232079565501,-1.7747579589418707,-0.28949331339577544,-0.10669744679830771,-0.03580399680693601,0.11845716197025749,0.13594843044986016,0.7969262946641033,0.672544404746254,0.6507036624111289,0.639118145203338,0.8749462996355186,1.0463337381537436,0.710149018987933,0.9205676490906126
1998-08-24,2.1971709367622196,-1.3933302357698583,-1.505776306573282,-0.6344569599012588,-0.24344767701417291,-0.13481753302044525,0.15549671836355544,0.13935724189732884,0.8215363142926627,0.7631748665006639,0.6693907964926764,0.6683219172970332,0.8491418470818568,1.0304310523695235,0.7209717983140108,0.9192747658777134
1998-08-25,1.0509461893139758,-0.23622001899637818,-1.505776306573282,-0.9501566738312395,-0.27347028962024894,-0.253672033573212,0.15674050519729826,0.13342544355193572,0.8391586499152928,0.7892168024938206,0.6693907964926764,0.6613319677579345,0.8360163813862443,1.0277691330000853,0.7214923375528337,0.9189074927650435
1998-08-26,0.21254988069698744,0.24695300981578092,-1.233232079565501,-1.224285784681595,-0.11980123926860281,-0.2526358337665224,0.14788936737932937,0.1416580094048181,0.8438598369605135,0.7969262946641033,0.672544404746254,0.649907100679421,0.8066016768737443,1.0522237682082967,0.7209824169512089,0.9195566908343302
1998-08-27,-0.6260334885896746,0.24695300981578092,-2.6298776455221358,-1.676167402782265,-0.17258257007643435,-0.3095567071757482,0.09352763767759509,0.1712711769658924,0.8424853127807026,0.7969262946641033,0.6997312104175929,0.6489116630831581,0.7794901298164876,1.0791611321823202,0.7234776307653022,0.9155784519115835
1998-08-28,-0.7455190200434647,2.1980972580620306,-2.290628677850939,-1.2854902013103904,-0.2318210684784746,-0.2766509299729775,0.09512344286144499,0.1555226949735169,0.8345756955030861,0.8102330602190511,0.739681501725281,0.654112340880515,0.7520433097627442,1.0878411409746933,0.7292738359584395,0.9117641501716495
1998-08-31,-0.5493325905628788,0.21254988069698744,0.24695300981578092,-1.505776306573282,-0.3475180750881076,-0.41013213919314345,0.07429536595984683,0.1448067432536415,0.9524729770104589,0.8438598369605135,0.7969262946641033,0.6693907964926764,0.7291069747318417,1.0925166288907147,0.7408714156395743,0.907904430102446
1998-09-01,-0.32878892832512274,-0.6260334885896746,0.24695300981578092,-2.4981104602862443,-0.351875937885107,-0.19757999364241974,0.048799747143923905,0.15643471919902485,1.0795719860778394,0.8424853127807026,0.7969262946641033,0.6867753702858657,0.7063239243146967,1.0825036051344912,0.7526273958833015,0.9042909366046229
1998-09-02,-0.15842693438549696,-0.7455190200434647,2.1980972580620306,-2.0888639779095195,-0.5458861355766034,-0.1649631816064782,-0.020032192834043873,0.15381276725294377,1.2208558679437786,0.8345756955030861,0.8102330602190511,0.7200939345344798,0.6862012375359994,1.0745346235797693,0.7629975686054347,0.9006655296157385
1998-09-03,0.3523992502624871,-0.7455190200434647,2.1971709367622196,-0.9076646469737201,-0.4215286856117817,0.005590344584070817,0.003924819602410443,0.1647726134325139,1.3654910539780423,0.8345756955030861,0.8215363142926627,0.7491020257597325,0.6669740777148304,1.068111372245215,0.7743183701866839,0.8972262061816038
1998-09-04,0.5393700287832088,-0.9497701268897561,1.0509461893139758,-0.7319918409943658,-0.6657148035059697,-0.014406207530260319,-0.007343568527872694,0.1553732739318784,1.3693486462331426,0.8315301575547391,0.8391586499152928,0.7755076981268121,0.6518069162478958,1.0550578304987637,0.7863010024701113,0.8976755285661596
1998-09-07,0.6919662596358312,-0.15842693438549696,-0.7455190200434647,0.24695300981578092,-1.1833671275914974,-0.050121574530157566,-0.03640011122654668,0.1531089856404262,1.3831505323275084,1.2208558679437786,0.8345756955030861,0.7969262946641033,0.6428349172803653,1.0368367310003466,0.7939935183781337,0.8937436614087415
1998-09-08,0.6084957759087781,0.3523992502624871,-0.7455190200434647,1.7727748879179646,-1.1577012091886876,0.016973437280546656,-0.036642629802508236,0.15792896945644824,1.3777233576409063,1.3654910539780423,0.8345756955030861,0.8175380176345357,0.6392654308394711,0.9979559182966339,0.8072989402020003,0.889058649746556
1998-09-09,0.8505389272431997,0.5393700287832088,-0.9497701268897561,1.765595246758212,-0.8517877204242648,-0.047960524992347195,-0.014404760469132843,0.15974521698471816,1.3755272483861576,1.3693486462331426,0.8315301575547391,0.8286837443117421,0.6560604552718338,0.9541610943114031,0.8209953373515255,0.8823159507530761
