Unnamed: 0,%C-5,%C-10,%C-15,%C-20,%C-40,%C-63,%C-126,%C-252,V-5,V-10,V-15,V-20,V-40,V-63,V-126,V-252,1_month,2_month,4_month,6_month
12/2/86,0.624140856,0.736197316,0.742826159,0.756713588,-0.260927966,0.309635392,0.404706056,0.015797385,0.485404472,0.376860584,0.551300679,0.559753503,0.653455004,0.539687998,0.393995993,0.460603806,,,,
13/2/86,0.67000551,0.736197316,0.831596081,1.021734498,-0.193481641,0.171137168,0.400945324,0.01114408,0.494531809,0.376860584,0.531707293,0.551243864,0.647068877,0.521898206,0.398466686,0.461035053,,,,
14/2/86,0.859597424,0.411443539,0.75360726,0.738984197,-0.037706501,0.24729555,0.44624826,0.01715126,0.48951248,0.351273866,0.463666751,0.547901137,0.656666012,0.506495234,0.404581956,0.462252744,,,,
18/2/86,1.358704957,0.67000551,0.736197316,1.001303413,0.05528448,0.082045323,0.403947978,0.040237126,0.47747339,0.494531809,0.376860584,0.536882035,0.677354088,0.462863717,0.415085002,0.464194487,,,,
19/2/86,0.373886646,0.859597424,0.411443539,0.647357699,-0.0313217,-0.108616932,0.408688686,0.066120806,0.47085206,0.48951248,0.351273866,0.48262136,0.687681637,0.466555186,0.415170349,0.465867248,,,,
20/2/86,0.236527149,0.859597424,0.709643526,0.600989606,0.145817688,-0.149319703,0.371668315,0.075930937,0.461237356,0.48951248,0.405315902,0.437159851,0.676640585,0.489614136,0.415878056,0.467854506,,,,
21/2/86,0.688271475,0.798695751,0.636855849,0.850616315,0.296958582,-0.189165016,0.368087635,0.094819952,0.455498394,0.486279157,0.444470649,0.396817737,0.664482081,0.509092335,0.41724368,0.46909586,,,,
24/2/86,0.404191909,0.373886646,0.859597424,0.736197316,0.450732042,-0.137948038,0.340964033,0.07632347,0.410605987,0.47085206,0.48951248,0.376860584,0.648505492,0.527167442,0.420053004,0.469270184,,,,
25/2/86,0.710254054,0.236527149,0.859597424,0.549795655,0.405432656,-0.057153577,0.332218123,0.079658159,0.342549186,0.461237356,0.48951248,0.381508247,0.619451508,0.545639147,0.424405773,0.469285116,,,,
26/2/86,0.49478959,0.688271475,0.798695751,0.507588477,0.413251487,0.057920421,0.339265207,0.075192239,0.27609884,0.455498394,0.486279157,0.421802969,0.592900576,0.562954981,0.42712334,0.469301251,,,,
27/2/86,0.329713151,0.688271475,1.16513824,0.629831739,0.407419539,0.140026693,0.34794061,0.078529369,0.218945899,0.455498394,0.485788464,0.454894131,0.56646629,0.577120386,0.432098448,0.469445298,,,,
28/2/86,0.184764138,0.688271475,1.358704957,0.754455553,0.395090865,0.06650746,0.392705211,0.069035146,0.216541625,0.455498394,0.47747339,0.48659201,0.546428587,0.592140894,0.437254699,0.469279843,,,,
3/3/86,0.084132116,0.49478959,0.688271475,0.859597424,0.49149168,-0.077625082,0.421130808,0.043308054,0.221397538,0.27609884,0.455498394,0.48951248,0.530645378,0.609557981,0.439593862,0.466597714,,,,
4/3/86,-0.209302462,0.329713151,0.688271475,0.798695751,0.514986907,-0.209792525,0.40551648,0.057956861,0.261587123,0.218945899,0.455498394,0.486279157,0.510992265,0.640354265,0.441866205,0.4636329,,,,
5/3/86,-0.550215983,0.184764138,0.688271475,1.169462543,0.635002133,-0.260927966,0.394420998,0.062837006,0.29687184,0.216541625,0.455498394,0.482252057,0.488592326,0.653455004,0.444493636,0.460312394,,,,
6/3/86,-0.249111394,0.184764138,0.404191909,0.599343569,0.783655847,-0.193481641,0.359997928,0.060487416,0.331944516,0.216541625,0.410605987,0.475974586,0.481739462,0.647068877,0.446332905,0.456242216,,,,
7/3/86,-0.146995339,0.219425876,0.710254054,0.581886632,0.833640338,-0.037706501,0.386747224,0.068686128,0.335096116,0.197658729,0.342549186,0.463286809,0.476624349,0.656666012,0.448727873,0.452502028,,,,
10/3/86,0.335621384,-0.550215983,0.184764138,0.688271475,0.775980047,-0.058644415,0.346382628,0.064238916,0.349731684,0.29687184,0.216541625,0.455498394,0.472142043,0.66513554,0.44965224,0.448674758,,,,
11/3/86,1.199727694,-0.249111394,0.184764138,0.559840617,0.808847586,0.05528448,0.385088732,0.070125676,0.40353827,0.331944516,0.216541625,0.422813357,0.467247392,0.677354088,0.4519194,0.444737377,,,,
12/3/86,0.985580456,-0.146995339,0.219425876,0.232455125,0.584922697,-0.0313217,0.289261224,0.081343909,0.461735466,0.335096116,0.197658729,0.368334984,0.461507203,0.687681637,0.461582043,0.440451292,,,,
13/3/86,1.082698062,-0.146995339,0.084132116,0.637008991,0.650491173,0.145817688,0.256246855,0.085921855,0.515294823,0.335096116,0.221397538,0.308997283,0.453650621,0.676640585,0.472411325,0.436267201,,,,
14/3/86,1.47748144,0.065172589,-0.209302462,0.672471412,0.826427355,0.296958582,0.255234808,0.09027099,0.531493994,0.345318593,0.261587123,0.262813021,0.447231832,0.664482081,0.482573107,0.434354707,,,,
17/3/86,0.610698339,0.985580456,-0.146995339,0.184764138,0.718545119,0.450732042,0.259006888,0.11113373,0.587850841,0.461735466,0.335096116,0.216541625,0.429728807,0.648505492,0.49385418,0.431218065,,,,
18/3/86,0.873898265,1.082698062,-0.146995339,-0.02359271,0.552564823,0.405432656,0.193287569,0.119971912,0.597148745,0.515294823,0.335096116,0.216968225,0.411065041,0.619451508,0.502403465,0.430266947,,,,
19/3/86,0.674581098,1.47748144,0.065172589,-0.098636222,0.581473128,0.413251487,0.206797637,0.121225646,0.612759946,0.531493994,0.345318593,0.244227633,0.403632511,0.592900576,0.510746806,0.430132537,,,,
20/3/86,0.223255925,1.47748144,0.335621384,-0.163533047,0.674318441,0.407419539,0.249819733,0.120805059,0.618282294,0.531493994,0.349731684,0.27943142,0.395535011,0.56646629,0.519201001,0.430343337,,,,
21/3/86,-0.364594714,1.783830399,1.199727694,-0.278295499,0.604476629,0.395090865,0.213946478,0.11080809,0.62869113,0.576067398,0.40353827,0.306940518,0.387139795,0.546428587,0.527215328,0.431149806,,,,
24/3/86,-0.124020929,0.674581098,1.47748144,-0.146995339,0.465281777,0.49149168,0.207378099,0.115071129,0.658694651,0.612759946,0.531493994,0.335096116,0.376431354,0.530645378,0.536707988,0.431841423,,,,
25/3/86,-0.172501418,0.223255925,1.47748144,0.102555192,0.336420864,0.514986907,0.165742662,0.117587177,0.646582737,0.618282294,0.531493994,0.34689495,0.365304837,0.510992265,0.547800168,0.432764738,,,,
