,%C-5,%C-10,%C-15,%C-20,%C-40,%C-63,%C-126,%C-252,V-5,V-10,V-15,V-20,V-40,V-63,V-126,V-252,1_month,2_month,4_month,6_month
1986-10-28,0.348965634654126,0.1532424536437664,0.1696049284024582,0.4833532623194266,0.22226152461366294,-0.6036714759036316,-0.10122803370618452,0.14092325585759669,1.3382827425799124,0.8784322187775893,0.7704821542061054,0.7776345942505702,2.137704369457595,1.4035197002357944,1.4252548973618653,0.972252073327071,,,,
1986-10-29,0.15400466573935226,0.0993417879895492,0.08346889874825889,0.3836205739418712,0.2284775483053485,-0.6011573025148074,-0.10535797039902574,0.14429607486595053,1.3434398643434553,0.9749636132543442,0.7769019476850212,0.766064601928515,2.1024477014776624,1.532547530299844,1.4181556079684845,0.9733271529291534,,,,
1986-10-30,0.4405271102786368,0.0993417879895492,-0.13577017800681082,0.4675370113485216,0.13662027732510776,-0.559042437462082,-0.11984635378916315,0.1503709461203132,1.3276189760149313,0.9749636132543442,0.7759314801847663,0.7653168730031615,2.0630948295779894,1.663172026261968,1.4104061467625189,0.9733055246961548,,,,
1986-10-31,0.3153996416999534,0.2973775124453161,-0.34348896729399925,0.3488814991461312,0.021555700916991005,-0.5462248202079323,-0.12091970891967578,0.14752684389588236,1.324739637228117,1.0339438297470838,0.7669523168730461,0.7725027689543238,1.8084539947528977,1.7983603590478552,1.4018770745553988,0.9701507769207532,,,,
1986-11-03,0.3617159805789096,0.15400466573935226,0.0993417879895492,0.1696049284024582,0.07275524588263364,-0.4610926299536997,-0.12234971923002926,0.14513067263962098,1.3182132857205,1.3434398643434553,0.9749636132543442,0.7704821542061054,1.5382179403181526,1.9351840114621983,1.424220318177618,0.9691960204969864,,,,
1986-11-04,0.4403200817478201,0.4405271102786368,0.0993417879895492,-0.07178510296809655,-0.07559875164684034,-0.4543890281386838,-0.16649777453182654,0.15623348087532124,1.322789632669674,1.3276189760149313,0.9749636132543442,0.7693301076046939,1.2678211286657155,1.9602427436687495,1.4397044030073909,0.9684931452101988,,,,
1986-11-05,0.21575840094985102,0.3153996416999534,0.2973775124453161,-0.1309339091215049,0.10325480243347927,-0.3807307565593918,-0.1688364302635927,0.1658635813492918,1.3305209666681947,1.324739637228117,1.0339438297470838,0.7661765907438571,1.0056461219090629,2.024754616922828,1.4560976635344554,0.9682195937695278,,,,
1986-11-06,0.1443973201890399,0.3153996416999534,0.2930248401782283,-0.22690839606433985,0.11750276278565525,-0.4636387223294319,-0.15538653007535255,0.17304138259702131,1.1911496096747198,1.324739637228117,1.1894561125257959,0.7617437769465776,0.7509296903070869,1.9803182324645523,1.4733392604441349,0.9678162201856304,,,,
1986-11-07,0.05408239651819724,0.4264994327870999,0.348965634654126,0.03382888769525971,0.2167636866053148,-0.5571562914539673,-0.18539236436114934,0.16294660360158675,1.099060617032486,1.3186230055113788,1.3382827425799124,0.8628184019159925,0.7771461632068708,2.021160790191684,1.4901544572827263,0.9702013824558096,,,,
1986-11-10,-0.256321278411722,0.21575840094985102,0.3153996416999534,0.0993417879895492,0.08682585854262435,-0.5242481443090331,-0.22265534905052092,0.121153722010342,0.8877721832677854,1.3305209666681947,1.324739637228117,0.9749636132543442,0.7717028180749442,2.0690195675849883,1.4871220268117975,0.9987794219038356,,,,
1986-11-11,-0.12592746485660716,0.1443973201890399,0.3153996416999534,0.2121021054265264,0.06202402202726115,-0.4213267188418149,-0.15021602946590448,0.09799375326785614,0.7416147151169752,1.1911496096747198,1.324739637228117,1.0969962966166809,0.7661345949381038,2.1240445276999145,1.4445927924222994,1.0281374164998027,,,,
1986-11-12,0.02705053045607044,0.05408239651819724,0.4264994327870999,0.32705528549416035,0.08173400723026521,-0.416306479458094,-0.10913342318939236,0.10638688056737727,0.7422280793799655,1.099060617032486,1.3186230055113788,1.2188081175120709,0.7633318196383927,2.185564510301408,1.402565858979845,1.0573021753967546,,,,
1986-11-13,-0.22828765835170645,0.05408239651819724,0.3617159805789096,0.3587929064183953,0.19135519342069546,-0.3973224410993902,-0.2231160423437971,0.10123778502482432,0.8191171153612113,1.099060617032486,1.3182132857205,1.3360757869959738,0.8176605854351582,2.2553977265765566,1.3842343456501942,1.0862919940678772,,,,
